"gene_symbol","go_id","go_description","p_adjusted"
"Adh4","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Adh7","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a6","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Akr1c21","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Aldh3b2","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Ces2c","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Ces1e","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Sult2a1","GO:0034308","primary alcohol metabolic process",7.26328026128822e-25
"Nme3","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Dpys","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Upb1","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Umps","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Upp1","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Cda","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Tymp","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Nme2","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Uck1","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Uckl1","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Upp2","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Nme1","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Dpyd","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Dut","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
"Uck2","GO:0009129","pyrimidine nucleoside monophosphate metabolic process",8.1960168158525e-25
